index, number,insert_comparisons,search_comparisons
1199,1199,11,21
1200,1200,11,21
1201,1201,11,21
1202,1202,11,21
1203,1203,11,21
1204,1204,11,21
1205,1205,11,21
1206,1206,11,21
1207,1207,11,21
1208,1208,11,21
1209,1209,11,21
1210,1210,11,21
1211,1211,11,21
1212,1212,11,21
1213,1213,11,21
1214,1214,11,21
1215,1215,11,21
1216,1216,11,21
1217,1217,11,21
1218,1218,11,21
1219,1219,11,21
1220,1220,11,21
1221,1221,11,21
1222,1222,11,21
1223,1223,11,21
1224,1224,11,21
1225,1225,11,21
1226,1226,11,21
1227,1227,11,21
1228,1228,11,21
1229,1229,11,21
1230,1230,11,21
1231,1231,11,21
1232,1232,11,21
1233,1233,11,21
1234,1234,11,21
1235,1235,11,21
1236,1236,11,21
1237,1237,11,21
1238,1238,11,21
1239,1239,11,21
1240,1240,11,21
1241,1241,11,21
1242,1242,11,21
1243,1243,11,21
1244,1244,11,21
1245,1245,11,21
1246,1246,11,21
1247,1247,11,21
1248,1248,11,21
1249,1249,11,21
1250,1250,11,21
1251,1251,11,21
1252,1252,11,21
1253,1253,11,21
1254,1254,11,21
1255,1255,11,21
1256,1256,11,21
1257,1257,11,21
1258,1258,11,21
1259,1259,11,21
1260,1260,11,21
1261,1261,11,21
1262,1262,11,21
1263,1263,11,21
1264,1264,11,21
1265,1265,11,21
1266,1266,11,21
1267,1267,11,21
1268,1268,11,21
1269,1269,11,21
1270,1270,11,21
1271,1271,11,21
1272,1272,11,21
1273,1273,11,21
1274,1274,11,21
1275,1275,11,21
1276,1276,11,21
1277,1277,11,21
1278,1278,11,21
1279,1279,11,21
1280,1280,11,21
1281,1281,11,21
1282,1282,11,21
1283,1283,11,21
1284,1284,11,21
1285,1285,11,21
1286,1286,11,21
1287,1287,11,21
1288,1288,11,21
1289,1289,11,21
1290,1290,11,21
1291,1291,11,21
1292,1292,11,21
1293,1293,11,21
1294,1294,11,21
1295,1295,11,21
1296,1296,11,21
1297,1297,11,21
1298,1298,11,21
1299,1299,11,21
1300,1300,11,21
1301,1301,11,21
1302,1302,11,21
1303,1303,11,21
1304,1304,11,21
1305,1305,11,21
1306,1306,11,21
1307,1307,11,21
1308,1308,11,21
1309,1309,11,21
1310,1310,11,21
1311,1311,11,21
1312,1312,11,21
1313,1313,11,21
1314,1314,11,21
1315,1315,11,21
1316,1316,11,21
1317,1317,11,21
1318,1318,11,21
1319,1319,11,21
1320,1320,11,21
1321,1321,11,21
1322,1322,11,21
1323,1323,11,21
1324,1324,11,21
1325,1325,11,21
1326,1326,11,21
1327,1327,11,21
1328,1328,11,21
1329,1329,11,21
1330,1330,11,21
1331,1331,11,21
1332,1332,11,21
1333,1333,11,21
1334,1334,11,21
1335,1335,11,21
1336,1336,11,21
1337,1337,11,21
1338,1338,11,21
1339,1339,11,21
1340,1340,11,21
1341,1341,11,21
1342,1342,11,21
1343,1343,11,21
1344,1344,11,21
1345,1345,11,21
1346,1346,11,21
1347,1347,11,21
1348,1348,11,21
1349,1349,11,21
1350,1350,11,21
1351,1351,11,21
1352,1352,11,21
1353,1353,11,21
1354,1354,11,21
1355,1355,11,21
1356,1356,11,21
1357,1357,11,21
1358,1358,11,21
1359,1359,11,21
1360,1360,11,21
1361,1361,11,21
1362,1362,11,21
1363,1363,11,21
1364,1364,11,21
1365,1365,11,21
1366,1366,11,21
1367,1367,11,21
1368,1368,11,21
1369,1369,11,21
1370,1370,11,21
1371,1371,11,21
1372,1372,11,21
1373,1373,11,21
1374,1374,11,21
1375,1375,11,21
1376,1376,11,21
1377,1377,11,21
1378,1378,11,21
1379,1379,11,21
1380,1380,11,21
1381,1381,11,21
1382,1382,11,21
1383,1383,11,21
1384,1384,11,21
1385,1385,11,21
1386,1386,11,21
1387,1387,11,21
1388,1388,11,21
1389,1389,11,21
1390,1390,11,21
1391,1391,11,21
1392,1392,11,21
1393,1393,11,21
1394,1394,11,21
1395,1395,11,21
1396,1396,11,21
1397,1397,11,21
1398,1398,11,21
1399,1399,11,21
1400,1400,11,21
1401,1401,11,21
1402,1402,11,21
1403,1403,11,21
1404,1404,11,21
1405,1405,11,21
1406,1406,11,21
1407,1407,11,21
1408,1408,11,21
1409,1409,11,21
1410,1410,11,21
1411,1411,11,21
1412,1412,11,21
1413,1413,11,21
1414,1414,11,21
1415,1415,11,21
1416,1416,11,21
1417,1417,11,21
1418,1418,11,21
1419,1419,11,21
1420,1420,11,21
1421,1421,11,21
1422,1422,11,21
1423,1423,11,21
1424,1424,11,21
1425,1425,11,21
1426,1426,11,21
1427,1427,11,21
1428,1428,11,21
1429,1429,11,21
1430,1430,11,21
1431,1431,11,21
1432,1432,11,21
1433,1433,11,21
1434,1434,11,21
1435,1435,11,21
1436,1436,11,21
1437,1437,11,21
1438,1438,11,21
1439,1439,11,21
1440,1440,11,21
1441,1441,11,21
1442,1442,11,21
1443,1443,11,21
1444,1444,11,21
1445,1445,11,21
1446,1446,11,21
1447,1447,11,21
1448,1448,11,21
1449,1449,11,21
1450,1450,11,21
1451,1451,11,21
1452,1452,11,21
1453,1453,11,21
1454,1454,11,21
1455,1455,11,21
1456,1456,11,21
1457,1457,11,21
1458,1458,11,21
1459,1459,11,21
1460,1460,11,21
1461,1461,11,21
1462,1462,11,21
1463,1463,11,21
1464,1464,11,21
1465,1465,11,21
1466,1466,11,21
1467,1467,11,21
1468,1468,11,21
1469,1469,11,21
1470,1470,11,21
1471,1471,11,21
1472,1472,11,21
1473,1473,11,21
1474,1474,11,21
1475,1475,11,21
1476,1476,11,21
1477,1477,11,21
1478,1478,11,21
1479,1479,11,21
1480,1480,11,21
1481,1481,11,21
1482,1482,11,21
1483,1483,11,21
1484,1484,11,21
1485,1485,11,21
1486,1486,11,21
1487,1487,11,21
1488,1488,11,21
1489,1489,11,21
1490,1490,11,21
1491,1491,11,21
1492,1492,11,21
1493,1493,11,21
1494,1494,11,21
1495,1495,11,21
1496,1496,11,21
1497,1497,11,21
1498,1498,11,21
1499,1499,11,21
1500,1500,11,21
1501,1501,11,21
1502,1502,11,21
1503,1503,11,21
1504,1504,11,21
1505,1505,11,21
1506,1506,11,21
1507,1507,11,21
1508,1508,11,21
1509,1509,11,21
1510,1510,11,21
1511,1511,11,21
1512,1512,11,21
1513,1513,11,21
1514,1514,11,21
1515,1515,11,21
1516,1516,11,21
1517,1517,11,21
1518,1518,11,21
1519,1519,11,21
1520,1520,11,21
1521,1521,11,21
1522,1522,11,21
1523,1523,11,21
1524,1524,11,21
1525,1525,11,21
1526,1526,11,21
1527,1527,11,21
1528,1528,11,21
1529,1529,11,21
1530,1530,11,21
1531,1531,11,21
1532,1532,11,21
1533,1533,11,21
1534,1534,11,21
1535,1535,11,21
1536,1536,11,21
1537,1537,11,21
1538,1538,11,21
1539,1539,11,21
1540,1540,11,21
1541,1541,11,21
1542,1542,11,21
1543,1543,11,21
1544,1544,11,21
1545,1545,11,21
1546,1546,11,21
1547,1547,11,21
1548,1548,11,21
1549,1549,11,21
1550,1550,11,21
1551,1551,11,21
1552,1552,11,21
1553,1553,11,21
1554,1554,11,21
1555,1555,11,21
1556,1556,11,21
1557,1557,11,21
1558,1558,11,21
1559,1559,11,21
1560,1560,11,21
1561,1561,11,21
1562,1562,11,21
1563,1563,11,21
1564,1564,11,21
1565,1565,11,21
1566,1566,11,21
1567,1567,11,21
1568,1568,11,21
1569,1569,11,21
1570,1570,11,21
1571,1571,11,21
1572,1572,11,21
1573,1573,11,21
1574,1574,11,21
1575,1575,11,21
1576,1576,11,21
1577,1577,11,21
1578,1578,11,21
1579,1579,11,21
1580,1580,11,21
1581,1581,11,21
1582,1582,11,21
1583,1583,11,21
1584,1584,11,21
1585,1585,11,21
1586,1586,11,21
1587,1587,11,21
1588,1588,11,21
1589,1589,11,21
1590,1590,11,21
1591,1591,11,21
